pop_2013,pop_2013_sqmi,median_age,num_households,avg_household_size,obesity_prevalence,diabetes,num_pharmacies
300046,173.1,33.0,107332,2.64,69213,16977,51
2621,1.1,46.9,1149,2.18,552,152,1
32723,11.9,38.0,12187,2.49,6702,1589,7
103018,13.9,31.2,36441,2.56,22067,4594,13
97147,3.9,34.8,31824,2.75,25287,6372,9
7008,0.3,37.5,2567,2.59,1630,471,1
2398,0.9,46.4,1053,2.23,833,269,2
4890,0.3,29.1,1563,3.07,1166,336,1
658,0.1,39.7,270,2.39,154,38,1
3803,1.2,41.6,1599,2.36,624,205,1
9124,3.1,38.1,3545,2.43,1762,525,2
13846,2.9,38.3,5305,2.49,3980,956,5
1656,0.1,30.8,553,2.88,423,106,1
58517,3.6,40.6,22161,2.42,14318,3679,13
5581,1.5,39.9,2194,2.51,2176,656,1
14135,2.1,32.7,4630,2.86,3329,780,4
9711,0.4,27.7,2815,3.29,2481,457,4
9940,0.3,39.8,3966,2.38,2412,778,3
1003140,109.2,37.6,388660,2.46,191222,64039,1
3937540,426.9,34.6,1411583,2.67,830450,273499,33
26037,44.0,46.8,11078,2.31,7260,2327,7
37545,62.4,41.4,15120,2.41,9637,4069,7
17837,28.7,39.7,7002,2.52,4894,2123,5
8232,12.3,46.6,3574,2.27,1992,1003,2
24646,32.1,36.9,9759,2.38,6380,2852,5
9575,12.0,46.7,4000,2.34,2050,1334,1
18152,28.7,39.5,6933,2.55,4844,2247,3
12314,19.9,46.9,5196,2.32,2580,1297,5
13542,23.2,47.3,5731,2.26,3724,1412,4
8701,14.5,40.2,3416,2.53,2209,1062,1
18537,22.2,36.8,7360,2.41,5598,2660,4
14172,24.8,37.9,4207,2.54,3602,1714,2
8926,14.4,41.5,3697,2.39,2256,895,1
8278,10.1,46.0,3571,2.32,1960,670,1
96782,131.7,44.4,40994,2.29,22468,11501,28
43249,74.6,37.8,16425,2.53,11902,4786,11
24405,32.0,39.7,9754,2.49,7387,3698,10
17614,24.3,46.6,7433,2.3,4835,2007,4
26236,38.4,37.2,9812,2.55,7491,2444,3
28193,43.9,37.2,9616,2.51,8576,3650,5
12727,20.9,47.5,5325,2.3,3816,2078,3
62293,75.0,35.1,23353,2.5,16002,5139,15
101555,142.5,33.2,37291,2.49,29022,10594,36
17281,29.2,40.9,6938,2.42,4029,1161,6
21530,38.0,40.5,8463,2.48,5781,2909,4
27726,43.4,43.9,11393,2.39,5832,1788,6
16076,19.2,40.9,6174,2.53,4151,1445,3
41813,71.3,50.7,18748,2.18,11200,5662,7
20648,23.9,43.1,8450,2.43,5032,1961,5
16527,25.8,50.1,7411,2.23,3788,2244,3
128741,235.6,36.6,49599,2.49,29106,11619,37
17401,28.7,46.9,7360,2.32,4969,2571,6
121364,182.7,31.6,42614,2.56,31436,8577,31
18130,29.3,39.8,7037,2.51,4462,1725,5
17763,27.1,41.7,7299,2.41,4596,2468,5
32909,52.9,40.1,12664,2.48,9296,4597,6
11302,18.4,40.2,4457,2.49,2751,1169,4
62933,104.2,37.5,23447,2.62,15970,6808,12
212458,223.0,30.8,76389,2.56,48239,14444,62
37122,48.1,38.9,14391,2.48,7800,3772,9
11465,12.8,39.8,4368,2.55,2963,1402,3
21931,23.3,40.3,8765,2.47,6504,2329,7
10409,18.6,41.7,4170,2.47,2594,1158,1
15859,24.7,43.2,6845,2.33,4895,1763,6
7923,12.8,44.1,3481,2.32,2138,957,3
18012,28.1,40.6,6724,2.38,5806,3221,5
71169,88.6,35.3,25295,2.68,22158,6576,17
22806,30.8,37.8,8839,2.52,4616,2917,5
50243,78.8,34.2,19026,2.64,14241,6757,10
11504,17.6,40.3,4673,2.42,3785,1311,3
13781,23.2,38.2,5365,2.54,4295,1248,3
8022,12.0,42.7,3280,2.35,2179,437,2
10236,16.5,39.7,3624,2.39,2927,1220,2
7521,13.8,43.2,3150,2.39,2516,1578,1
5335,8.4,43.3,2262,2.3,1206,707,1
17725,30.5,33.8,5975,2.83,3894,1686,5
7101,12.0,43.3,3134,2.28,2142,1364,3
113850,155.9,38.8,41441,2.55,26384,11099,19
235063,265.8,34.4,82087,2.67,53770,16478,49
8735,12.9,44.5,3685,2.33,2849,947,2
22222,30.4,41.3,8704,2.5,5377,2945,6
11644,16.9,41.7,4579,2.42,3185,799,4
21002,28.9,36.8,8491,2.53,5813,2543,5
76842,84.1,37.3,28873,2.49,21314,8282,16
388661,481.3,36.1,158772,2.36,97235,34699,114
43490,68.3,37.2,17219,2.44,11114,3983,6
25845,34.9,42.1,11003,2.34,6896,2732,7
22293,23.5,37.8,8219,2.66,5913,2218,4
45905,49.9,34.9,17741,2.58,12463,5275,13
22776,25.8,33.7,8783,2.32,4466,2453,7
41488,39.3,40.1,16951,2.43,10154,3995,11
18827,18.2,40.7,8005,2.35,4183,2641,7
13105,23.2,41.2,5411,2.41,3566,1959,3
79948,76.7,35.9,29342,2.52,18006,7696,21
13034,15.9,38.8,5321,2.43,3255,1183,6
825162,17415.8,38.5,345811,2.26,137237,50362,138
263212,589.2,36.8,94355,2.66,39596,14395,40
3065100,3836.0,36.2,992781,2.99,463427,203348,688
730953,1600.6,39.2,257837,2.75,125851,45245,101
417406,469.1,36.9,141758,2.83,100304,33793,56
96367,158.4,34.6,31437,2.98,21777,7056,18
137194,174.0,39.7,48876,2.69,25651,9299,22
73557,114.3,32.2,24307,2.92,18178,6262,9
155992,112.1,31.1,41233,3.19,30885,10944,19
38305,63.2,48.2,14569,2.3,9228,4266,6
46093,44.5,49.1,18886,2.39,11208,4303,6
1076524,1417.1,38.4,375364,2.77,204215,74573,149
28293,27.9,39.0,9907,2.5,7261,2145,6
21831,18.9,33.5,7056,3.0,6126,3174,3
1442760,1451.6,34.8,513945,2.71,322712,105636,228
696124,488.0,32.7,215007,3.12,167264,53374,95
28625,21.6,35.3,9800,2.84,6390,1913,5
205985,201.3,30.5,70872,2.74,37534,9880,29
18380,12.6,49.2,7693,2.28,3413,1020,2
258959,131.0,29.6,75642,3.32,50940,25586,39
99423,102.0,47.5,41527,2.35,17576,4941,15
66259,49.8,45.0,26548,2.39,12410,6298,12
56744,40.8,34.3,16805,3.27,13626,3789,7
182590,102.2,43.5,70223,2.55,32543,11885,30
1544833,2076.2,36.6,545138,2.7,245795,87935,221
521401,344.4,32.9,165180,3.08,115855,43167,80
829507,446.7,36.2,266920,3.04,130080,58437,166
1824941,1405.5,36.2,604204,2.9,281426,111010,267
